City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Amahai,ID,77.47,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
7,Atuona,PF,78.58,broken clouds,-9.8,-139.0333,Villa Enata
16,Castro,BR,76.39,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
17,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
19,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
20,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
26,Caconda,AO,73.51,scattered clouds,-13.7333,15.0667,
29,Moshupa,BW,79.21,clear sky,-24.7782,25.4155,Sim's Bed & Breakfast
34,San-Pedro,CI,74.03,moderate rain,4.7485,-6.6363,Hotel Maria
35,Yanai,JP,73.4,scattered clouds,33.9667,132.1167,Yanai City Hotel
37,Ipixuna,BR,75.15,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
39,Hamilton,US,76.73,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
42,San Quintin,MX,71.02,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
44,Jalu,LY,79.11,clear sky,29.0331,21.5482,صاحبة الفخامة
45,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
51,Guerrero Negro,MX,74.35,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
56,Rikitea,PF,73.56,few clouds,-23.1203,-134.9692,People ThankYou
59,Tura,IN,75.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
63,Anloga,GH,79.92,broken clouds,5.7947,0.8973,Pin Drop Hotel
65,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
72,Daru,PG,77.41,overcast clouds,-9.0763,143.2092,Daru Lodge
73,Brewster,US,72.27,broken clouds,41.3973,-73.6171,Heidi's Inn
76,Vila Franca Do Campo,PT,72.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
78,Biak,ID,75.51,overcast clouds,-0.9131,122.8766,Penginapan Kim
84,Puri,IN,79.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
85,Kaniama,CD,76.19,overcast clouds,-7.5667,24.1833,
86,Half Moon Bay,US,72.05,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
93,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
95,Lata,PT,70.92,overcast clouds,40.1629,-8.3327,Casa Maquia
104,Qui Nhon,VN,77.86,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
105,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
106,Meulaboh,ID,73.98,light rain,4.1363,96.1285,Kost Pria
111,Gaeta,IT,76.19,overcast clouds,41.2183,13.5628,Hotel Serapo
114,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
115,Acari,PE,76.15,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
118,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
120,Nishihara,JP,79.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
123,Sibolga,ID,76.23,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
129,Bethel,US,72.01,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
135,Kismayo,SO,77.32,clear sky,-0.3582,42.5454,Agan-Hotel
137,Loreto,MX,70.83,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
145,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
148,Marsa Matruh,EG,74.05,clear sky,31.3525,27.2453,Beau Site
159,Filadelfia,US,74.43,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
160,Lhokseumawe,ID,77.18,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
161,Kapit,MY,73.81,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
162,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
163,Mahebourg,MU,71.89,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
164,Sembe,CG,74.3,broken clouds,1.6481,14.5806,
169,Pocoes,BR,79.14,scattered clouds,-14.5297,-40.3653,Poções Palace Hotel
171,Thap Than,TH,73.49,light rain,15.4606,99.8917,ขวัญเรือน ขำสุข
173,Bhadrachalam,IN,76.53,heavy intensity rain,17.6667,80.8833,Hotel Srinidhi Residency
181,Libreville,GA,76.26,overcast clouds,0.3925,9.4537,Hotel Re-Ndama
184,Anito,PH,77.29,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
187,Karratha,AU,70.99,clear sky,-20.7377,116.8463,ibis Styles Karratha
188,Ugoofaaru,MV,77.63,overcast clouds,5.6667,73.0,Ungoofaaru Inn
189,Escondido,US,77.29,mist,33.1192,-117.0864,Holiday Inn Express & Suites San Diego-Escondido
192,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
193,Eyl,SO,78.98,broken clouds,7.9803,49.8164,Amiin Hotel
194,Faanui,PF,79.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,Along,IN,71.96,scattered clouds,28.1667,94.7667,Hotel West
197,Maumere,ID,77.34,broken clouds,-8.6199,122.2111,Sylvia Hotel
