City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Astana,KZ,51.1801,71.446,40.95,45,0,20.13,clear sky
1,Ushuaia,AR,-54.8,-68.3,47.86,43,40,5.75,scattered clouds
2,Amahai,ID,-3.3333,128.9167,77.47,89,99,2.1,overcast clouds
3,Coroata,BR,-4.13,-44.1242,103.5,22,32,4.05,scattered clouds
4,Lisakovsk,KZ,52.5369,62.4936,53.31,42,100,22.86,overcast clouds
5,Grindavik,IS,63.8424,-22.4338,44.55,81,75,25.32,broken clouds
6,Tautira,PF,-17.7333,-149.15,82.42,77,23,15.12,few clouds
7,Atuona,PF,-9.8,-139.0333,78.58,67,51,18.37,broken clouds
8,Ocos,GT,14.5094,-92.1933,91.58,73,49,5.84,scattered clouds
9,Kavaratti,IN,10.5669,72.642,81.55,81,75,22.15,broken clouds
10,Port Elizabeth,ZA,-33.918,25.5701,65.1,88,75,3.44,broken clouds
11,Torbay,CA,47.6666,-52.7314,64.67,59,75,12.66,broken clouds
12,Albany,US,42.6001,-73.9662,69.46,49,31,1.01,scattered clouds
13,Makat,KZ,47.6469,53.3463,62.82,47,100,17.0,overcast clouds
14,Cherskiy,RU,68.75,161.3,32.34,99,100,18.77,snow
15,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,0,19.57,clear sky
16,Castro,BR,-24.7911,-50.0119,76.39,54,26,0.63,scattered clouds
17,Ribeira Grande,PT,38.5167,-28.7,70.2,73,75,26.46,broken clouds
18,Hithadhoo,MV,-0.6,73.0833,82.96,73,88,15.52,overcast clouds
19,Saint-Joseph,RE,-21.3667,55.6167,70.18,82,48,13.06,light rain
20,Ponta Do Sol,PT,32.6667,-17.1,76.01,71,94,0.38,overcast clouds
21,Victoria,HK,22.2855,114.1577,85.32,79,41,1.99,light rain
22,Ginda,IN,30.6945,78.4932,61.74,88,14,4.05,few clouds
23,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,100,90,11.5,mist
24,Port Alfred,ZA,-33.5906,26.891,64.81,90,41,14.81,scattered clouds
25,Esperance,AU,-33.8667,121.9,55.9,87,48,14.7,scattered clouds
26,Caconda,AO,-13.7333,15.0667,73.51,20,33,5.28,scattered clouds
27,Punta Arenas,CL,-53.15,-70.9167,48.31,46,75,13.8,broken clouds
28,Kavieng,PG,-2.5744,150.7967,81.0,79,100,8.05,moderate rain
29,Moshupa,BW,-24.7782,25.4155,79.21,19,0,5.5,clear sky
30,Nikolskoye,RU,59.7035,30.7861,50.02,93,36,5.66,scattered clouds
31,Mataura,NZ,-46.1927,168.8643,29.32,98,9,2.51,clear sky
32,Sistranda,NO,63.7256,8.834,57.16,85,97,8.72,overcast clouds
33,Corner Brook,CA,48.9667,-57.9484,69.96,75,100,8.68,overcast clouds
34,San-Pedro,CI,4.7485,-6.6363,74.03,96,100,2.39,moderate rain
35,Yanai,JP,33.9667,132.1167,73.4,90,40,6.93,scattered clouds
36,Hofn,IS,64.2539,-15.2082,44.08,74,93,4.92,overcast clouds
37,Ipixuna,BR,-1.7625,-48.8043,75.15,75,100,5.26,overcast clouds
38,Matamoros,MX,25.5333,-103.25,83.1,37,96,1.43,overcast clouds
39,Hamilton,US,39.1834,-84.5333,76.73,40,1,1.01,clear sky
40,East London,ZA,-33.0153,27.9116,67.14,82,75,8.05,broken clouds
41,Charyshskoye,RU,51.3978,83.5598,19.71,95,29,4.0,scattered clouds
42,San Quintin,MX,30.4833,-115.95,71.02,67,87,7.94,overcast clouds
43,Thompson,CA,55.7435,-97.8558,57.36,62,40,5.75,scattered clouds
44,Jalu,LY,29.0331,21.5482,79.11,31,0,6.71,clear sky
45,Avarua,CK,-21.2078,-159.775,73.45,83,75,1.14,broken clouds
46,Xining,CN,36.6167,101.7667,51.42,75,100,0.56,overcast clouds
47,Bosaso,SO,11.2842,49.1816,89.51,53,3,4.09,clear sky
48,Chuy,UY,-33.6971,-53.4616,68.72,64,12,4.99,few clouds
49,Hermanus,ZA,-34.4187,19.2345,61.9,88,26,4.45,scattered clouds
50,Niamey,NE,13.5137,2.1098,93.49,29,20,9.22,dust
51,Guerrero Negro,MX,27.9769,-114.0611,74.35,62,2,14.92,clear sky
52,Cabo San Lucas,MX,22.8909,-109.9124,93.51,65,23,2.08,few clouds
53,Severo-Kurilsk,RU,50.6789,156.125,48.42,93,84,10.85,broken clouds
54,Bredasdorp,ZA,-34.5322,20.0403,59.29,88,56,4.61,broken clouds
55,Hobart,AU,-42.8794,147.3294,40.05,89,5,4.0,clear sky
56,Rikitea,PF,-23.1203,-134.9692,73.56,73,14,18.1,few clouds
57,San Patricio,US,28.017,-97.5169,88.02,38,8,6.85,clear sky
58,Ust-Omchug,RU,61.15,149.6333,27.79,92,21,4.63,few clouds
59,Tura,IN,25.5198,90.2201,75.88,89,85,2.98,overcast clouds
60,Alofi,NU,-19.0595,-169.9187,60.69,100,47,1.14,scattered clouds
61,Menzelinsk,RU,55.7271,53.1026,47.44,76,100,13.33,overcast clouds
62,Jumla,NP,29.2747,82.1838,57.65,87,70,3.49,broken clouds
63,Anloga,GH,5.7947,0.8973,79.92,77,67,11.05,broken clouds
64,Jacksonville,US,30.3322,-81.6556,88.11,50,20,1.99,haze
65,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,14.97,light rain
66,Saumur,FR,47.3333,-0.25,66.81,84,91,9.84,overcast clouds
67,Busselton,AU,-33.65,115.3333,57.04,90,42,14.0,scattered clouds
68,Bluff,NZ,-46.6,168.3333,38.91,79,29,7.61,scattered clouds
69,Bernardino De Campos,BR,-23.0131,-49.4742,94.42,20,15,10.07,few clouds
70,Iberia,US,29.9502,-91.7507,82.96,47,1,10.36,clear sky
71,Tiksi,RU,71.6872,128.8694,34.16,97,100,11.79,light rain
72,Daru,PG,-9.0763,143.2092,77.41,90,96,14.05,overcast clouds
73,Brewster,US,41.3973,-73.6171,72.27,56,75,1.99,broken clouds
74,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,8.05,light intensity drizzle rain
75,Vaini,TO,-21.2,-175.2,68.16,88,75,3.44,broken clouds
76,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,82,100,3.83,overcast clouds
77,Cape Town,ZA,-33.9258,18.4232,62.28,73,0,1.01,clear sky
78,Biak,ID,-0.9131,122.8766,75.51,79,100,5.14,overcast clouds
79,Kamenka,RU,51.3223,42.7678,46.09,87,45,15.35,light rain
80,Mucurapo,TT,10.6667,-61.5333,90.01,72,20,4.56,few clouds
81,Floro,NO,61.5996,5.0328,62.56,63,90,17.27,overcast clouds
82,Lawton,US,34.6087,-98.3903,90.07,27,1,12.66,clear sky
83,Kruisfontein,ZA,-34.0033,24.7314,62.89,90,52,9.35,broken clouds
84,Puri,IN,19.8,85.85,79.32,81,100,18.05,overcast clouds
85,Kaniama,CD,-7.5667,24.1833,76.19,48,99,2.06,overcast clouds
86,Half Moon Bay,US,37.4636,-122.4286,72.05,72,90,4.61,overcast clouds
87,Yellowknife,CA,62.456,-114.3525,40.41,93,75,4.0,broken clouds
88,Kashi,CN,39.4547,75.9797,69.01,24,0,11.18,clear sky
89,Tiarei,PF,-17.5333,-149.3333,82.42,78,20,13.78,few clouds
90,Atar,MR,20.5169,-13.0499,106.88,9,12,10.51,few clouds
91,Gwadar,PK,25.1216,62.3254,81.95,78,3,6.51,clear sky
